LCLid,node_id,node_type,node_index,node_household_count,stdorToU,Acorn_grouped,file,shift_score
MAC000291,node_std_0,Std,0,20,Std,Affluent,block_12,2.333357462081528
MAC000730,node_std_0,Std,0,20,Std,Affluent,block_31,2.6033831822990603
MAC000734,node_std_0,Std,0,20,Std,Adversity,block_75,2.562183817031977
MAC000823,node_std_0,Std,0,20,Std,Affluent,block_37,2.403773948019149
MAC000846,node_std_0,Std,0,20,Std,Comfortable,block_73,2.125172914853413
MAC000989,node_std_0,Std,0,20,Std,Adversity,block_94,0.4599291343055302
MAC001684,node_std_0,Std,0,20,Std,Adversity,block_107,2.5297225002568178
MAC001877,node_std_0,Std,0,20,Std,Comfortable,block_54,1.4746551334432574
MAC001903,node_std_0,Std,0,20,Std,Comfortable,block_56,1.9266761788913795
MAC002071,node_std_0,Std,0,20,Std,Comfortable,block_58,1.2609408247709457
MAC002191,node_std_0,Std,0,20,Std,Adversity,block_110,1.1648303191486606
MAC002669,node_std_0,Std,0,20,Std,Comfortable,block_68,2.705964584047911
MAC002896,node_std_0,Std,0,20,Std,Affluent,block_28,2.6012231052135966
MAC003280,node_std_0,Std,0,20,Std,Adversity,block_85,1.3235236600270892
MAC004405,node_std_0,Std,0,20,Std,Adversity,block_103,0.34329651208880396
MAC004455,node_std_0,Std,0,20,Std,Affluent,block_5,2.1671347180648626
MAC004703,node_std_0,Std,0,20,Std,Comfortable,block_59,1.1959555021655932
MAC004737,node_std_0,Std,0,20,Std,Comfortable,block_63,2.603009473989043
MAC005363,node_std_0,Std,0,20,Std,ACORN-U,block_110,1.544654178657371
MAC005520,node_std_0,Std,0,20,Std,Adversity,block_90,1.8505921862612065
MAC000132,node_std_1,Std,1,20,Std,Affluent,block_22,1.637638987065708
MAC000281,node_std_1,Std,1,20,Std,Adversity,block_76,2.3472944082539984
MAC000854,node_std_1,Std,1,20,Std,Comfortable,block_70,1.6628694890584255
MAC001486,node_std_1,Std,1,20,Std,Adversity,block_75,1.8069537897117531
MAC001689,node_std_1,Std,1,20,Std,Affluent,block_1,1.34420553710831
MAC002244,node_std_1,Std,1,20,Std,Affluent,block_15,1.7272660589301698
MAC002684,node_std_1,Std,1,20,Std,Comfortable,block_50,1.9802209509224593
MAC002734,node_std_1,Std,1,20,Std,Adversity,block_90,1.7460807327350412
MAC002784,node_std_1,Std,1,20,Std,Affluent,block_27,1.8561679045995114
MAC003162,node_std_1,Std,1,20,Std,Adversity,block_75,2.145432377224663
MAC003948,node_std_1,Std,1,20,Std,Adversity,block_91,1.7693528271812817
MAC003985,node_std_1,Std,1,20,Std,Affluent,block_23,2.5741438351689387
MAC004101,node_std_1,Std,1,20,Std,Adversity,block_102,1.632147850136316
MAC004463,node_std_1,Std,1,20,Std,Affluent,block_20,2.184321358798548
MAC004500,node_std_1,Std,1,20,Std,Affluent,block_20,1.822831375908206
MAC004860,node_std_1,Std,1,20,Std,Adversity,block_99,1.4591209637679265
MAC004887,node_std_1,Std,1,20,Std,Affluent,block_8,0.6417846191465129
MAC004904,node_std_1,Std,1,20,Std,Affluent,block_28,0.8105822159655162
MAC004927,node_std_1,Std,1,20,Std,Affluent,block_8,2.034896131367324
MAC004974,node_std_1,Std,1,20,Std,Affluent,block_30,1.3404539297973015
MAC000037,node_std_2,Std,2,20,Std,Affluent,block_38,2.2108802501622016
MAC000055,node_std_2,Std,2,20,Std,Adversity,block_76,2.603427902499152
MAC000112,node_std_2,Std,2,20,Std,Affluent,block_2,0.7659155523413531
MAC000244,node_std_2,Std,2,20,Std,Comfortable,block_44,1.8270935084464375
MAC000437,node_std_2,Std,2,20,Std,Affluent,block_40,1.0279855441183794
MAC000649,node_std_2,Std,2,20,Std,Adversity,block_92,1.8212430052345605
MAC000934,node_std_2,Std,2,20,Std,Comfortable,block_45,1.143196076438265
MAC000981,node_std_2,Std,2,20,Std,Adversity,block_93,1.0163434642185667
MAC001531,node_std_2,Std,2,20,Std,Comfortable,block_72,1.1640115501339958
MAC001843,node_std_2,Std,2,20,Std,Affluent,block_1,2.1068010437979
MAC001882,node_std_2,Std,2,20,Std,Adversity,block_78,2.0988998541589297
MAC001980,node_std_2,Std,2,20,Std,Affluent,block_11,1.2909373121297287
MAC002704,node_std_2,Std,2,20,Std,Comfortable,block_68,2.2237632288778957
MAC002882,node_std_2,Std,2,20,Std,Adversity,block_100,0.7929901354456407
MAC003443,node_std_2,Std,2,20,Std,Adversity,block_82,1.8475935767821157
MAC003750,node_std_2,Std,2,20,Std,Comfortable,block_66,1.6671300756436451
MAC004014,node_std_2,Std,2,20,Std,Affluent,block_24,2.030225763619303
MAC004067,node_std_2,Std,2,20,Std,ACORN-U,block_110,0.0
MAC004443,node_std_2,Std,2,20,Std,Affluent,block_21,2.1031950198842657
MAC004998,node_std_2,Std,2,20,Std,Affluent,block_29,1.8285427931059992
MAC000561,node_tou_0,ToU,0,20,ToU,Affluent,block_16,80.88926461167244
MAC000640,node_tou_0,ToU,0,20,ToU,Affluent,block_16,64.32369930320249
MAC000817,node_tou_0,ToU,0,20,ToU,Affluent,block_16,105.38962732903268
MAC001228,node_tou_0,ToU,0,20,ToU,Comfortable,block_55,63.29220416375391
MAC001556,node_tou_0,ToU,0,20,ToU,Affluent,block_41,59.983923605638836
MAC001826,node_tou_0,ToU,0,20,ToU,Affluent,block_7,75.45133678738227
MAC002040,node_tou_0,ToU,0,20,ToU,Adversity,block_106,58.62160020537992
MAC003175,node_tou_0,ToU,0,20,ToU,Adversity,block_80,60.66222843749014
MAC003387,node_tou_0,ToU,0,20,ToU,Affluent,block_3,108.73912733570221
MAC003396,node_tou_0,ToU,0,20,ToU,Adversity,block_79,55.331080433832554
MAC003541,node_tou_0,ToU,0,20,ToU,Adversity,block_78,68.2944927065214
MAC003617,node_tou_0,ToU,0,20,ToU,Comfortable,block_60,74.00425304893821
MAC003634,node_tou_0,ToU,0,20,ToU,Affluent,block_2,151.09535777533523
MAC003848,node_tou_0,ToU,0,20,ToU,Adversity,block_79,155.08711056085764
MAC004100,node_tou_0,ToU,0,20,ToU,Adversity,block_92,82.36633238801642
MAC004258,node_tou_0,ToU,0,20,ToU,Affluent,block_2,84.07092593390848
MAC004374,node_tou_0,ToU,0,20,ToU,Affluent,block_2,81.81958372063343
MAC004851,node_tou_0,ToU,0,20,ToU,Affluent,block_34,66.57804650020911
MAC005080,node_tou_0,ToU,0,20,ToU,Adversity,block_95,79.017433014588
MAC005538,node_tou_0,ToU,0,20,ToU,Comfortable,block_44,80.04494105744189
MAC000681,node_tou_1,ToU,1,20,ToU,Affluent,block_15,70.70507412519909
MAC000985,node_tou_1,ToU,1,20,ToU,Affluent,block_10,58.54433384275085
