stdorToU,window_key,window_label,lag_hours,mean_acf,std_acf,household_count
Std,pre_2011_2012,2011-2012 pre-drift,0,1.0,0.0,59
Std,pre_2011_2012,2011-2012 pre-drift,1,0.5884059886611983,0.15577270236131188,59
Std,pre_2011_2012,2011-2012 pre-drift,2,0.41027992294575116,0.16302542219693675,59
Std,pre_2011_2012,2011-2012 pre-drift,3,0.3083270946830814,0.1567001358491648,59
Std,pre_2011_2012,2011-2012 pre-drift,4,0.23502121136974904,0.15130033963162118,59
Std,pre_2011_2012,2011-2012 pre-drift,5,0.17453292326662256,0.1457914779572221,59
Std,pre_2011_2012,2011-2012 pre-drift,6,0.13075452095587803,0.1426133955091079,59
Std,pre_2011_2012,2011-2012 pre-drift,7,0.10014821274354219,0.14037866336808694,59
Std,pre_2011_2012,2011-2012 pre-drift,8,0.08675343440028549,0.13903954671820337,59
Std,pre_2011_2012,2011-2012 pre-drift,9,0.08506416209995112,0.13795281692201886,59
Std,pre_2011_2012,2011-2012 pre-drift,10,0.09258521668744259,0.14293279266039888,59
Std,pre_2011_2012,2011-2012 pre-drift,11,0.09922625176740138,0.150529259506081,59
Std,pre_2011_2012,2011-2012 pre-drift,12,0.10118636675034583,0.156433472909606,59
Std,pre_2011_2012,2011-2012 pre-drift,13,0.09579609641245315,0.1513617338037838,59
Std,pre_2011_2012,2011-2012 pre-drift,14,0.08535510901061738,0.14279097633493304,59
Std,pre_2011_2012,2011-2012 pre-drift,15,0.07488068592537295,0.137013401720916,59
Std,pre_2011_2012,2011-2012 pre-drift,16,0.07143512816911635,0.13689953697532903,59
Std,pre_2011_2012,2011-2012 pre-drift,17,0.08319450101041956,0.13867367908509673,59
Std,pre_2011_2012,2011-2012 pre-drift,18,0.10583675573369919,0.14217683603632597,59
Std,pre_2011_2012,2011-2012 pre-drift,19,0.14192424913663282,0.14671489581308697,59
Std,pre_2011_2012,2011-2012 pre-drift,20,0.18756710616864547,0.15058745396980888,59
Std,pre_2011_2012,2011-2012 pre-drift,21,0.2398122333071315,0.15495922580872337,59
Std,pre_2011_2012,2011-2012 pre-drift,22,0.2966513100155465,0.16202316780524584,59
Std,pre_2011_2012,2011-2012 pre-drift,23,0.36822582851008523,0.16160603722661343,59
Std,pre_2011_2012,2011-2012 pre-drift,24,0.42310690890772573,0.1684716292535002,59
Std,pre_2011_2012,2011-2012 pre-drift,25,0.37028920957421907,0.15933648781686138,59
Std,pre_2011_2012,2011-2012 pre-drift,26,0.29840290187826873,0.15906726840915997,59
Std,pre_2011_2012,2011-2012 pre-drift,27,0.24068545640826308,0.15169819129742354,59
Std,pre_2011_2012,2011-2012 pre-drift,28,0.1881447414762626,0.1482615591043006,59
Std,pre_2011_2012,2011-2012 pre-drift,29,0.14007597528540253,0.14350315556979754,59
Std,pre_2011_2012,2011-2012 pre-drift,30,0.10241678392938727,0.13885313787905632,59
Std,pre_2011_2012,2011-2012 pre-drift,31,0.07739091317112497,0.13464585723214756,59
Std,pre_2011_2012,2011-2012 pre-drift,32,0.06595422665690767,0.13202770756910068,59
Std,pre_2011_2012,2011-2012 pre-drift,33,0.06804159738796947,0.13160955250852033,59
Std,pre_2011_2012,2011-2012 pre-drift,34,0.07644806236868304,0.1365700315521749,59
Std,pre_2011_2012,2011-2012 pre-drift,35,0.08313789405569343,0.1454841767085545,59
Std,pre_2011_2012,2011-2012 pre-drift,36,0.085537037009722,0.15075739754876444,59
Std,pre_2011_2012,2011-2012 pre-drift,37,0.08067519123076035,0.14402762763022892,59
Std,pre_2011_2012,2011-2012 pre-drift,38,0.0721482098454844,0.1344391943526401,59
Std,pre_2011_2012,2011-2012 pre-drift,39,0.06452718757733156,0.12901023866659023,59
Std,pre_2011_2012,2011-2012 pre-drift,40,0.06483503999468664,0.12999276789046998,59
Std,pre_2011_2012,2011-2012 pre-drift,41,0.07718295822268693,0.13112063765223766,59
Std,pre_2011_2012,2011-2012 pre-drift,42,0.10078153934004255,0.13541200442325443,59
Std,pre_2011_2012,2011-2012 pre-drift,43,0.1363216166772085,0.13870379730661206,59
Std,pre_2011_2012,2011-2012 pre-drift,44,0.1783476797045396,0.1451507453916953,59
Std,pre_2011_2012,2011-2012 pre-drift,45,0.2266543473444935,0.14960239984979867,59
Std,pre_2011_2012,2011-2012 pre-drift,46,0.2815228214579511,0.155295189512695,59
Std,pre_2011_2012,2011-2012 pre-drift,47,0.3468425631019236,0.15791624364009432,59
Std,pre_2011_2012,2011-2012 pre-drift,48,0.3967592746354073,0.16700199284828568,59
Std,pre_2011_2012,2011-2012 pre-drift,49,0.34625218238626254,0.15748623291997035,59
Std,pre_2011_2012,2011-2012 pre-drift,50,0.281748224618653,0.1556292686991203,59
Std,pre_2011_2012,2011-2012 pre-drift,51,0.22696458465781832,0.14867637739766287,59
Std,pre_2011_2012,2011-2012 pre-drift,52,0.17658929085466696,0.14265258282416585,59
Std,pre_2011_2012,2011-2012 pre-drift,53,0.13270234050889396,0.13704225812184845,59
Std,pre_2011_2012,2011-2012 pre-drift,54,0.0971082657060966,0.13310802965194146,59
Std,pre_2011_2012,2011-2012 pre-drift,55,0.07226534282355386,0.1282756616485374,59
Std,pre_2011_2012,2011-2012 pre-drift,56,0.060327135121611794,0.12688147995378174,59
Std,pre_2011_2012,2011-2012 pre-drift,57,0.06153564108124978,0.12544619974791932,59
Std,pre_2011_2012,2011-2012 pre-drift,58,0.06657319028732372,0.13062439390097755,59
Std,pre_2011_2012,2011-2012 pre-drift,59,0.0744155349104492,0.13964913350321775,59
Std,pre_2011_2012,2011-2012 pre-drift,60,0.0791144451298374,0.14522375451911818,59
Std,pre_2011_2012,2011-2012 pre-drift,61,0.07419997292947296,0.13919186255185495,59
Std,pre_2011_2012,2011-2012 pre-drift,62,0.06697716644498401,0.13049596301360394,59
Std,pre_2011_2012,2011-2012 pre-drift,63,0.05953292434611732,0.12394779111768933,59
Std,pre_2011_2012,2011-2012 pre-drift,64,0.05746368343175282,0.12408286517074386,59
Std,pre_2011_2012,2011-2012 pre-drift,65,0.06872998754415464,0.12541336007764484,59
Std,pre_2011_2012,2011-2012 pre-drift,66,0.09273299998772813,0.12841391841740152,59
Std,pre_2011_2012,2011-2012 pre-drift,67,0.12590605281258221,0.132186673184926,59
Std,pre_2011_2012,2011-2012 pre-drift,68,0.1679383799499308,0.13749493313352573,59
Std,pre_2011_2012,2011-2012 pre-drift,69,0.21410309739069083,0.14157977929346335,59
Std,pre_2011_2012,2011-2012 pre-drift,70,0.26661030775262706,0.14868965549142535,59
Std,pre_2011_2012,2011-2012 pre-drift,71,0.3311444099237724,0.150171502845021,59
Std,pre_2011_2012,2011-2012 pre-drift,72,0.37800504150141195,0.1581215943347089,59
Std,drift_2013,2013 tariff-shift period,0,1.0,0.0,59
Std,drift_2013,2013 tariff-shift period,1,0.5305603586368789,0.1519197409123749,59
Std,drift_2013,2013 tariff-shift period,2,0.319517901109609,0.14816088399832308,59
Std,drift_2013,2013 tariff-shift period,3,0.2048313189584523,0.13228427151264022,59
Std,drift_2013,2013 tariff-shift period,4,0.12379541803113503,0.11789183589986536,59
Std,drift_2013,2013 tariff-shift period,5,0.05775280563825911,0.10738077585930586,59
Std,drift_2013,2013 tariff-shift period,6,0.008844548159044934,0.10262019921741564,59
Std,drift_2013,2013 tariff-shift period,7,-0.023278314722357345,0.1011307544733812,59
Std,drift_2013,2013 tariff-shift period,8,-0.038141890186717334,0.10173181729405982,59
Std,drift_2013,2013 tariff-shift period,9,-0.03737259002533767,0.10413505120182093,59
Std,drift_2013,2013 tariff-shift period,10,-0.02916739800880408,0.11334988759768466,59
Std,drift_2013,2013 tariff-shift period,11,-0.02282097680173934,0.12527136926337298,59
Std,drift_2013,2013 tariff-shift period,12,-0.021929827374243347,0.13344227140776846,59
Std,drift_2013,2013 tariff-shift period,13,-0.026211080915105406,0.12498314904336037,59
Std,drift_2013,2013 tariff-shift period,14,-0.03483455199100201,0.10984416875005402,59
Std,drift_2013,2013 tariff-shift period,15,-0.045683575398447036,0.09688978755008798,59
Std,drift_2013,2013 tariff-shift period,16,-0.05058223164186656,0.0929668952785874,59
Std,drift_2013,2013 tariff-shift period,17,-0.038752766588620195,0.09097322160172243,59
Std,drift_2013,2013 tariff-shift period,18,-0.012397060102944203,0.09016640310226857,59
Std,drift_2013,2013 tariff-shift period,19,0.026319002196192518,0.09204093004611798,59
Std,drift_2013,2013 tariff-shift period,20,0.07877021155258791,0.0981730520526353,59
Std,drift_2013,2013 tariff-shift period,21,0.1388677760495392,0.1083052288691852,59
Std,drift_2013,2013 tariff-shift period,22,0.2050112558587693,0.12281907887911148,59
Std,drift_2013,2013 tariff-shift period,23,0.2875261830783696,0.13279791244927666,59
Std,drift_2013,2013 tariff-shift period,24,0.3514485792381237,0.14773353165379774,59
