window_key,window_label,LCLid,stdorToU,adf_statistic,p_value,failed_adf
pre_2011_2012,2011-2012 pre-drift,MAC000037,Std,-98.53346468479923,0.0,False
pre_2011_2012,2011-2012 pre-drift,MAC000055,Std,-14.643238340457723,3.59608240460834e-27,False
pre_2011_2012,2011-2012 pre-drift,MAC000112,Std,-10.271921340733453,3.980937966736994e-18,False
pre_2011_2012,2011-2012 pre-drift,MAC000132,Std,-11.404660700601994,7.500664074622685e-21,False
pre_2011_2012,2011-2012 pre-drift,MAC000244,Std,-25.46228246407312,0.0,False
pre_2011_2012,2011-2012 pre-drift,MAC000281,Std,-10.483868719414462,1.1942857624139404e-18,False
pre_2011_2012,2011-2012 pre-drift,MAC000291,Std,-7.833547286549557,6.2009080420169536e-12,False
pre_2011_2012,2011-2012 pre-drift,MAC000437,Std,-6.092353873947938,1.0292345469925419e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC000649,Std,-10.579831572898613,6.951680008417602e-19,False
pre_2011_2012,2011-2012 pre-drift,MAC000730,Std,-8.18368258307512,8.005012894150312e-13,False
pre_2011_2012,2011-2012 pre-drift,MAC000734,Std,-6.763730453033482,2.750581906632382e-09,False
pre_2011_2012,2011-2012 pre-drift,MAC000823,Std,-4.424983381494173,0.00026802808107901076,False
pre_2011_2012,2011-2012 pre-drift,MAC000846,Std,-14.713570738245062,2.82274896189118e-27,False
pre_2011_2012,2011-2012 pre-drift,MAC000854,Std,-8.115564624379942,1.1936025309136319e-12,False
pre_2011_2012,2011-2012 pre-drift,MAC000934,Std,-7.239209694983643,1.9037977932504486e-10,False
pre_2011_2012,2011-2012 pre-drift,MAC000981,Std,-16.49227465853226,2.1867867301638168e-29,False
pre_2011_2012,2011-2012 pre-drift,MAC000989,Std,-4.855364251751666,4.256557817527006e-05,False
pre_2011_2012,2011-2012 pre-drift,MAC001486,Std,-7.7113206732948045,1.2616195649262315e-11,False
pre_2011_2012,2011-2012 pre-drift,MAC001531,Std,-4.182248242387962,0.0007060032909371125,False
