block,households_loaded,raw_halfhour_missing,raw_halfhour_total,raw_halfhour_missing_rate,hourly_missing_before_fill,hourly_total,hourly_missing_rate_before_fill
block_1,2,2,58080,3.443526170798898e-05,2,29040,6.887052341597796e-05
block_10,2,2,62064,3.222480020623872e-05,2,31032,6.444960041247745e-05
block_100,2,2,60672,3.2964135021097044e-05,2,30336,6.592827004219409e-05
block_102,1,1,30816,3.245067497403946e-05,1,15408,6.490134994807892e-05
block_103,1,1,33984,2.9425612052730696e-05,1,16992,5.885122410546139e-05
block_105,2,2,61200,3.2679738562091506e-05,2,30600,6.535947712418301e-05
block_106,1,1,29664,3.3710895361380795e-05,1,14832,6.742179072276159e-05
block_107,3,3,88608,3.385698808234019e-05,3,44304,6.771397616468039e-05
block_109,1,1,34608,2.8895053166897826e-05,1,17304,5.779010633379565e-05
block_11,2,2,58560,3.4153005464480874e-05,2,29280,6.830601092896175e-05
block_110,3,3,95184,3.151790216843167e-05,3,47592,6.303580433686334e-05
block_12,3,3,95856,3.129694541812719e-05,3,47928,6.259389083625437e-05
block_15,2,2,64608,3.095591877166914e-05,2,32304,6.191183754333828e-05
block_16,7,7,228288,3.0663022147462854e-05,7,114144,6.132604429492571e-05
block_17,6,6,190752,3.1454453950679415e-05,6,95376,6.290890790135883e-05
block_2,6,5,178752,2.797171500179019e-05,5,89376,5.594343000358038e-05
block_20,5,5,194160,2.5751957148743305e-05,5,97080,5.150391429748661e-05
block_21,1,1,33792,2.959280303030303e-05,1,16896,5.918560606060606e-05
block_22,1,1,38208,2.617252931323283e-05,1,19104,5.234505862646566e-05
block_23,1,1,28848,3.466444814198558e-05,1,14424,6.932889628397117e-05
block_24,1,1,26016,3.843788437884379e-05,1,13008,7.687576875768758e-05
block_27,2,2,62496,3.200204813108039e-05,2,31248,6.400409626216078e-05
block_28,2,2,65088,3.072763028515241e-05,2,32544,6.145526057030482e-05
block_29,1,1,36384,2.7484608619173264e-05,1,18192,5.496921723834653e-05
block_3,2,2,58464,3.4209085933223865e-05,2,29232,6.841817186644773e-05
block_30,1,1,36576,2.7340332458442695e-05,1,18288,5.468066491688539e-05
block_31,1,1,31872,3.1375502008032126e-05,1,15936,6.275100401606425e-05
block_33,3,3,98544,3.044325377496347e-05,3,49272,6.088650754992694e-05
block_34,5,5,165408,3.0228284000773845e-05,5,82704,6.045656800154769e-05
block_35,3,3,85248,3.519144144144144e-05,3,42624,7.038288288288288e-05
block_36,2,2,57264,3.492595697122101e-05,2,28632,6.985191394244202e-05
block_37,3,3,100896,2.9733587059942913e-05,3,50448,5.9467174119885826e-05
block_38,3,3,98736,3.038405444822557e-05,3,49368,6.076810889645114e-05
block_39,1,1,35904,2.785204991087344e-05,1,17952,5.570409982174688e-05
block_40,1,1,33648,2.9719448407037566e-05,1,16824,5.943889681407513e-05
block_41,3,3,96960,3.094059405940594e-05,3,48480,6.188118811881188e-05
block_42,5,5,150960,3.312135665076842e-05,5,75480,6.624271330153684e-05
block_43,5,5,151104,3.308979246082168e-05,5,75552,6.617958492164337e-05
block_44,2,2,71568,2.794545048066175e-05,2,35784,5.58909009613235e-05
block_45,3,3,96720,3.1017369727047146e-05,3,48360,6.203473945409429e-05
block_46,2,2,63600,3.144654088050314e-05,2,31800,6.289308176100629e-05
block_47,1,1,30528,3.275681341719078e-05,1,15264,6.551362683438155e-05
block_48,3,3,103440,2.900232018561485e-05,3,51720,5.80046403712297e-05
block_5,1,1,38496,2.597672485453034e-05,1,19248,5.195344970906068e-05
block_50,3,3,102192,2.9356505401596995e-05,3,51096,5.871301080319399e-05
block_51,1,1,28800,3.472222222222222e-05,1,14400,6.944444444444444e-05
block_52,1,1,29328,3.409710856519367e-05,1,14664,6.819421713038734e-05
block_54,2,2,60720,3.293807641633728e-05,2,30360,6.587615283267457e-05
block_55,2,2,54864,3.645377661125693e-05,2,27432,7.290755322251386e-05
block_56,1,1,29712,3.365643511039311e-05,1,14856,6.731287022078621e-05
block_57,1,1,33696,2.9677113010446345e-05,1,16848,5.935422602089269e-05
block_58,2,2,61056,3.275681341719078e-05,2,30528,6.551362683438155e-05
block_59,1,1,28320,3.531073446327684e-05,1,14160,7.062146892655367e-05
block_60,4,4,101376,3.945707070707071e-05,4,50688,7.891414141414142e-05
block_61,5,5,154272,3.241028832192491e-05,5,77136,6.482057664384982e-05
block_62,2,2,54336,3.680800942285041e-05,2,27168,7.361601884570082e-05
block_63,4,4,120288,3.325352487363661e-05,4,60144,6.650704974727321e-05
block_64,2,2,52848,3.7844383893430214e-05,2,26424,7.568876778686043e-05
block_66,1,1,23712,4.217273954116059e-05,1,11856,8.434547908232118e-05
block_68,2,2,63024,3.173394262503174e-05,2,31512,6.346788525006347e-05
block_7,1,1,30144,3.3174097664543524e-05,1,15072,6.634819532908705e-05
block_70,1,1,32016,3.12343828085957e-05,1,16008,6.24687656171914e-05
block_72,3,3,96912,3.095591877166914e-05,3,48456,6.191183754333828e-05
block_73,2,2,59472,3.362927091740651e-05,2,29736,6.725854183481302e-05
block_74,2,2,62304,3.2100667693888034e-05,2,31152,6.420133538777607e-05
block_75,4,4,122208,3.273108143493061e-05,4,61104,6.546216286986122e-05
block_76,2,2,73536,2.7197563098346387e-05,2,36768,5.4395126196692775e-05
block_77,1,1,28656,3.489670575097711e-05,1,14328,6.979341150195422e-05
block_78,5,5,147312,3.394156619963072e-05,5,73656,6.788313239926144e-05
block_79,4,4,100944,3.962593120938342e-05,4,50472,7.925186241876684e-05
block_8,2,2,74112,2.6986183074265975e-05,2,37056,5.397236614853195e-05
block_80,2,2,49296,4.057124310288867e-05,2,24648,8.114248620577734e-05
block_81,1,1,33120,3.0193236714975845e-05,1,16560,6.038647342995169e-05
block_82,2,2,56688,3.528083545018346e-05,2,28344,7.056167090036692e-05
block_85,2,2,49632,4.029658284977434e-05,2,24816,8.059316569954868e-05
block_86,2,2,52224,3.829656862745098e-05,2,26112,7.659313725490196e-05
block_89,2,2,63072,3.1709791983764585e-05,2,31536,6.341958396752917e-05
block_9,1,1,38688,2.5847808105872622e-05,1,19344,5.1695616211745244e-05
block_90,2,2,63600,3.144654088050314e-05,2,31800,6.289308176100629e-05
block_91,3,3,84864,3.535067873303168e-05,3,42432,7.070135746606335e-05
block_92,3,3,95952,3.12656328164082e-05,3,47976,6.25312656328164e-05
block_93,2,2,64032,3.12343828085957e-05,2,32016,6.24687656171914e-05
block_94,3,3,97152,3.0879446640316203e-05,3,48576,6.175889328063241e-05
block_95,1,1,30480,3.280839895013123e-05,1,15240,6.561679790026247e-05
block_96,3,3,95856,3.129694541812719e-05,3,47928,6.259389083625437e-05
block_97,1,1,28080,3.561253561253561e-05,1,14040,7.122507122507122e-05
block_99,1,1,37824,2.643824027072758e-05,1,18912,5.287648054145516e-05
