stdorToU,window_key,window_label,lag_hours,mean_acf,std_acf,household_count
Std,pre_2011_2012,2011-2012 pre-drift,0,1.0,0.0,4
Std,pre_2011_2012,2011-2012 pre-drift,1,0.6438085020163902,0.09297940561880776,4
Std,pre_2011_2012,2011-2012 pre-drift,2,0.44019019073523735,0.10329250315853654,4
Std,pre_2011_2012,2011-2012 pre-drift,3,0.32531053574470603,0.11703545102931381,4
Std,pre_2011_2012,2011-2012 pre-drift,4,0.25910963071983417,0.12482994053455694,4
Std,pre_2011_2012,2011-2012 pre-drift,5,0.20734592963785048,0.11966130848668051,4
Std,pre_2011_2012,2011-2012 pre-drift,6,0.17923263000445444,0.11831776563765461,4
Std,pre_2011_2012,2011-2012 pre-drift,7,0.16725057640004956,0.12093261649831755,4
Std,pre_2011_2012,2011-2012 pre-drift,8,0.16845370786622138,0.11879543471692723,4
Std,pre_2011_2012,2011-2012 pre-drift,9,0.1796520109866963,0.1083449666150332,4
Std,pre_2011_2012,2011-2012 pre-drift,10,0.1936510423970822,0.10176511646924871,4
Std,pre_2011_2012,2011-2012 pre-drift,11,0.21105881280997557,0.08894027173260131,4
Std,pre_2011_2012,2011-2012 pre-drift,12,0.21649336932028548,0.07828256603707655,4
Std,pre_2011_2012,2011-2012 pre-drift,13,0.20968896997240727,0.08180554201239046,4
Std,pre_2011_2012,2011-2012 pre-drift,14,0.19803349858363545,0.08644218466020852,4
Std,pre_2011_2012,2011-2012 pre-drift,15,0.17904351226264684,0.09727706001760217,4
Std,pre_2011_2012,2011-2012 pre-drift,16,0.1665358891693118,0.10959645370344485,4
Std,pre_2011_2012,2011-2012 pre-drift,17,0.16007780854050183,0.12034197943110893,4
Std,pre_2011_2012,2011-2012 pre-drift,18,0.18508521850294485,0.11653613844474044,4
Std,pre_2011_2012,2011-2012 pre-drift,19,0.21993309080554552,0.09978896241656837,4
Std,pre_2011_2012,2011-2012 pre-drift,20,0.2557849893276597,0.09811440191252524,4
Std,pre_2011_2012,2011-2012 pre-drift,21,0.30746766157598415,0.08630526439426511,4
Std,pre_2011_2012,2011-2012 pre-drift,22,0.3740237167681356,0.08195128615083583,4
Std,pre_2011_2012,2011-2012 pre-drift,23,0.44591720707618526,0.07819915216871622,4
Std,pre_2011_2012,2011-2012 pre-drift,24,0.49845665650168125,0.0675268790744314,4
Std,pre_2011_2012,2011-2012 pre-drift,25,0.43996568516505996,0.06898481688176775,4
Std,pre_2011_2012,2011-2012 pre-drift,26,0.3813819359650061,0.06039402578428573,4
Std,pre_2011_2012,2011-2012 pre-drift,27,0.3203128078578199,0.07192316463150046,4
Std,pre_2011_2012,2011-2012 pre-drift,28,0.2601009497188599,0.08871801735609262,4
Std,pre_2011_2012,2011-2012 pre-drift,29,0.21196955269884987,0.1029734853712483,4
Std,pre_2011_2012,2011-2012 pre-drift,30,0.18001385488563582,0.10624173485317906,4
Std,pre_2011_2012,2011-2012 pre-drift,31,0.16535605224136016,0.11136815507412373,4
Std,pre_2011_2012,2011-2012 pre-drift,32,0.16769755625231697,0.10205761762917019,4
Std,pre_2011_2012,2011-2012 pre-drift,33,0.17237221789676568,0.08873188935960188,4
Std,pre_2011_2012,2011-2012 pre-drift,34,0.18679010353828113,0.07936413239031354,4
Std,pre_2011_2012,2011-2012 pre-drift,35,0.20258522969859236,0.06999484094970368,4
Std,pre_2011_2012,2011-2012 pre-drift,36,0.1971146167714286,0.07128182676510425,4
Std,pre_2011_2012,2011-2012 pre-drift,37,0.197789597671427,0.07548170701607522,4
Std,pre_2011_2012,2011-2012 pre-drift,38,0.1946054716323496,0.08517896663833431,4
