window_key,window_label,LCLid,stdorToU,adf_statistic,p_value,failed_adf
pre_2011_2012,2011-2012 pre-drift,MAC000926,Std,-5.71525836254693,7.145423209626663e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC002546,Std,-5.421700833244482,3.049267368091765e-06,False
pre_2011_2012,2011-2012 pre-drift,MAC003623,Std,-4.791243638724868,5.6522864879337004e-05,False
pre_2011_2012,2011-2012 pre-drift,MAC005446,Std,-5.485670100604949,2.232907194063832e-06,False
pre_2011_2012,2011-2012 pre-drift,MAC001410,ToU,-5.891457523244999,2.917806782987847e-07,False
pre_2011_2012,2011-2012 pre-drift,MAC001487,ToU,-15.886459296294415,8.638833940299622e-29,False
pre_2011_2012,2011-2012 pre-drift,MAC002508,ToU,-4.206183365253923,0.0006431988398623726,False
pre_2011_2012,2011-2012 pre-drift,MAC005537,ToU,-6.2760745612323205,3.897797753244792e-08,False
drift_2013,2013 tariff-shift period,MAC000926,Std,-10.880078153355916,1.3015342409608367e-19,False
drift_2013,2013 tariff-shift period,MAC002546,Std,-9.657678507441853,1.380095582976346e-16,False
drift_2013,2013 tariff-shift period,MAC003623,Std,-12.659474275283495,1.3145091331327286e-23,False
drift_2013,2013 tariff-shift period,MAC005446,Std,-5.073708063341776,1.5829828864144614e-05,False
drift_2013,2013 tariff-shift period,MAC001410,ToU,-8.782376200864341,2.357662174505377e-14,False
drift_2013,2013 tariff-shift period,MAC001487,ToU,-12.688535367731467,1.1454966209909315e-23,False
drift_2013,2013 tariff-shift period,MAC002508,ToU,-12.086607680304256,2.1702515953029855e-22,False
drift_2013,2013 tariff-shift period,MAC005537,ToU,-6.845399259516912,1.7480721088593496e-09,False
post_2014,2014 post-drift (Jan-Feb only),MAC000926,Std,-3.412580856237339,0.010537395090990448,False
post_2014,2014 post-drift (Jan-Feb only),MAC002546,Std,-4.710830219058627,8.029771983500215e-05,False
post_2014,2014 post-drift (Jan-Feb only),MAC003623,Std,-6.05944797095114,1.2225602540120077e-07,False
post_2014,2014 post-drift (Jan-Feb only),MAC005446,Std,-5.9203731190389375,2.5147767622435114e-07,False
post_2014,2014 post-drift (Jan-Feb only),MAC001410,ToU,-2.8772670023273537,0.04805611902681905,False
post_2014,2014 post-drift (Jan-Feb only),MAC001487,ToU,-12.90725026390352,4.1278747206898194e-24,False
post_2014,2014 post-drift (Jan-Feb only),MAC002508,ToU,-6.104875038935209,9.638412431534465e-08,False
post_2014,2014 post-drift (Jan-Feb only),MAC005537,ToU,-5.028774334903766,1.945982916403139e-05,False
