node_id,node_type,household_count,split_key,split_label,count,rmse,mae
node_std_0,Std,2,test_2012q4,Test: 2012 Q4,91,0.07717330941340084,0.0759234376006074
node_std_0,Std,2,test_2013,Test: 2013 drift year,364,0.0744371823707355,0.07280102666917738
node_std_0,Std,2,test_2014,Test: 2014 post-drift,58,0.0750581042162963,0.07491521177620723
node_std_1,Std,2,test_2012q4,Test: 2012 Q4,91,0.0987684628415089,0.07838320994115137
node_std_1,Std,2,test_2013,Test: 2013 drift year,364,0.15611294090384342,0.11858803361326783
node_std_1,Std,2,test_2014,Test: 2014 post-drift,58,0.1020153936556681,0.08564843802616515
node_tou_0,ToU,2,test_2012q4,Test: 2012 Q4,91,0.17199595308356383,0.12642140440888458
node_tou_0,ToU,2,test_2013,Test: 2013 drift year,364,1.121363991749958,0.5051773969943707
node_tou_0,ToU,2,test_2014,Test: 2014 post-drift,58,0.0918130419594192,0.060495972633361816
node_tou_1,ToU,2,test_2012q4,Test: 2012 Q4,91,0.04082719205443981,0.03476164629171183
node_tou_1,ToU,2,test_2013,Test: 2013 drift year,364,0.10173715960875485,0.05774332009829008
node_tou_1,ToU,2,test_2014,Test: 2014 post-drift,58,0.06015314776650992,0.04003720859001423
