LCLid,pre_2011_2012_days,drift_2013_days,post_2014_days
MAC000002,81,365,59
MAC000003,316,365,59
MAC000004,238,365,59
MAC000005,214,365,59
MAC000006,337,365,59
MAC000007,99,365,59
MAC000008,241,303,0
MAC000009,103,365,59
MAC000010,99,365,59
MAC000011,71,365,59
MAC000012,91,365,59
MAC000013,194,365,59
MAC000014,78,365,59
MAC000015,392,365,59
MAC000016,392,16,0
MAC000017,392,365,59
MAC000018,391,365,59
MAC000019,391,365,59
MAC000020,391,365,59
MAC000021,391,365,59
MAC000022,391,365,59
MAC000023,391,365,59
MAC000024,391,365,59
MAC000025,391,365,59
MAC000026,391,365,59
MAC000027,391,365,59
MAC000028,391,280,0
MAC000029,391,365,59
MAC000030,391,365,59
MAC000031,391,365,59
MAC000032,391,365,59
MAC000033,391,365,59
MAC000034,391,365,59
MAC000035,391,365,59
MAC000036,391,365,59
MAC000037,391,365,59
MAC000038,390,365,59
MAC000039,390,365,59
MAC000040,390,365,59
MAC000041,390,365,59
MAC000042,390,365,59
MAC000043,390,365,59
MAC000044,390,365,59
MAC000045,390,365,59
MAC000046,390,365,59
MAC000047,390,365,59
MAC000048,390,365,59
MAC000049,390,365,59
MAC000050,390,107,0
MAC000051,390,365,59
MAC000052,390,365,59
MAC000053,389,365,59
MAC000054,389,365,59
MAC000055,389,365,59
MAC000056,389,365,59
MAC000057,389,365,59
MAC000058,389,365,59
MAC000059,389,365,59
MAC000060,389,365,59
MAC000061,389,365,59
MAC000062,389,365,59
MAC000063,389,266,0
MAC000064,389,365,59
MAC000065,389,188,0
MAC000066,389,365,59
MAC000067,389,365,59
MAC000068,389,365,59
MAC000069,389,365,59
MAC000070,388,365,59
MAC000071,388,118,0
MAC000072,388,365,59
MAC000073,388,365,59
MAC000074,388,365,59
MAC000075,388,365,59
MAC000076,388,365,59
MAC000077,388,365,59
MAC000078,388,365,59
MAC000079,388,362,59
MAC000080,388,149,0
MAC000081,388,365,59
MAC000082,388,365,59
MAC000083,388,365,59
MAC000084,388,365,59
MAC000085,388,365,59
MAC000086,388,365,59
MAC000087,386,365,59
MAC000088,386,365,59
MAC000089,386,365,59
MAC000090,386,365,59
MAC000091,386,365,59
MAC000092,386,365,59
MAC000093,386,365,59
MAC000094,385,365,59
MAC000095,386,273,0
MAC000096,386,365,59
MAC000097,386,365,59
MAC000098,386,365,59
MAC000099,386,365,59
MAC000100,386,365,59
MAC000101,386,365,59
MAC000102,376,365,59
MAC000103,385,327,0
MAC000104,385,365,59
MAC000105,385,365,43
MAC000106,385,365,59
MAC000107,385,365,59
MAC000108,385,365,59
MAC000109,385,365,59
MAC000110,385,365,59
MAC000111,383,365,59
MAC000112,384,365,59
MAC000113,384,365,59
MAC000114,384,30,0
MAC000115,384,365,59
MAC000116,384,365,59
MAC000117,384,365,59
MAC000118,384,365,59
MAC000119,307,365,59
MAC000120,384,224,0
MAC000121,384,365,59
MAC000122,383,365,59
MAC000123,383,365,59
MAC000124,383,365,59
MAC000125,383,365,59
MAC000126,383,365,59
MAC000127,383,365,59
MAC000128,383,365,59
MAC000129,383,365,59
MAC000130,383,365,59
MAC000131,383,365,59
MAC000132,383,365,59
MAC000133,383,365,59
MAC000134,383,15,0
MAC000135,383,52,0
MAC000136,383,56,0
MAC000137,383,365,59
MAC000138,383,365,59
MAC000139,383,273,0
MAC000140,382,365,59
MAC000141,382,365,59
MAC000142,382,47,0
MAC000143,382,365,59
MAC000144,381,261,0
MAC000145,405,365,59
MAC000146,405,18,0
MAC000147,405,365,59
MAC000148,405,365,59
MAC000149,405,365,59
MAC000150,405,365,59
MAC000151,405,365,59
MAC000152,405,365,59
MAC000153,405,365,59
MAC000154,396,133,0
MAC000155,405,365,59
MAC000156,405,365,59
MAC000157,405,365,59
MAC000158,404,365,59
MAC000159,404,365,59
MAC000160,404,365,59
MAC000161,404,72,0
MAC000162,404,365,59
MAC000163,404,365,59
MAC000164,404,365,27
MAC000165,404,365,59
MAC000166,404,365,59
MAC000167,404,365,59
MAC000168,404,365,59
MAC000169,404,365,59
MAC000170,403,365,59
MAC000171,403,365,59
MAC000172,403,234,0
MAC000173,403,365,59
MAC000174,403,365,59
MAC000175,403,365,59
MAC000176,403,365,59
MAC000177,402,365,59
MAC000178,402,365,59
MAC000179,402,365,59
MAC000180,402,365,59
MAC000181,402,365,59
MAC000182,402,338,0
MAC000183,401,365,59
MAC000184,402,217,0
MAC000185,402,365,59
MAC000186,400,365,59
MAC000187,400,365,59
MAC000188,400,365,59
MAC000189,400,365,59
MAC000190,400,365,59
MAC000191,400,365,59
MAC000192,400,365,59
MAC000193,400,365,59
MAC000194,400,365,59
MAC000195,400,365,59
MAC000196,400,334,57
MAC000197,400,365,59
MAC000198,400,365,59
MAC000199,400,365,59
MAC000200,399,365,59
MAC000201,399,365,59
