stdorToU,window_key,window_label,lag_hours,mean_acf,std_acf,household_count
Std,pre_2011_2012,2011-2012 pre-drift,0,1.0,0.0,3
Std,pre_2011_2012,2011-2012 pre-drift,1,0.6565183214535028,0.08108594951908261,3
Std,pre_2011_2012,2011-2012 pre-drift,2,0.48149153829362706,0.11198431272780895,3
Std,pre_2011_2012,2011-2012 pre-drift,3,0.370230871529609,0.12974996676288658,3
Std,pre_2011_2012,2011-2012 pre-drift,4,0.29231324326593594,0.14114610481899584,3
Std,pre_2011_2012,2011-2012 pre-drift,5,0.23033253719593105,0.150283172342094,3
Std,pre_2011_2012,2011-2012 pre-drift,6,0.17685284379438507,0.1603334446644486,3
Std,pre_2011_2012,2011-2012 pre-drift,7,0.14152764276219887,0.1653630502909532,3
Std,pre_2011_2012,2011-2012 pre-drift,8,0.12565857734433894,0.16116849951177017,3
Std,pre_2011_2012,2011-2012 pre-drift,9,0.1208237896449414,0.1480017492794815,3
Std,pre_2011_2012,2011-2012 pre-drift,10,0.13221180040237626,0.14498270549716732,3
Std,pre_2011_2012,2011-2012 pre-drift,11,0.14952411481978287,0.13773192202788426,3
Std,pre_2011_2012,2011-2012 pre-drift,12,0.15563809971515227,0.12464671209826736,3
Std,pre_2011_2012,2011-2012 pre-drift,13,0.13875979482680387,0.13395004911370606,3
Std,pre_2011_2012,2011-2012 pre-drift,14,0.11918265101785434,0.13785803606454441,3
Std,pre_2011_2012,2011-2012 pre-drift,15,0.10456425263365149,0.14286180250595432,3
Std,pre_2011_2012,2011-2012 pre-drift,16,0.10772986105171305,0.1432268979368633,3
Std,pre_2011_2012,2011-2012 pre-drift,17,0.11813819960580411,0.15620611217112068,3
Std,pre_2011_2012,2011-2012 pre-drift,18,0.14139148915655034,0.16322186241373987,3
Std,pre_2011_2012,2011-2012 pre-drift,19,0.18291273427664023,0.15244237815775966,3
Std,pre_2011_2012,2011-2012 pre-drift,20,0.23563111941951578,0.14314308099121525,3
Std,pre_2011_2012,2011-2012 pre-drift,21,0.2985045477034138,0.1248809371071496,3
Std,pre_2011_2012,2011-2012 pre-drift,22,0.3710516306048903,0.11722639625807839,3
Std,pre_2011_2012,2011-2012 pre-drift,23,0.431277443535637,0.13509637195340163,3
Std,pre_2011_2012,2011-2012 pre-drift,24,0.4698911400921986,0.1502603957495038,3
Std,pre_2011_2012,2011-2012 pre-drift,25,0.4322143944610923,0.1310134941105397,3
Std,pre_2011_2012,2011-2012 pre-drift,26,0.35991389239764815,0.12173217785530782,3
Std,pre_2011_2012,2011-2012 pre-drift,27,0.28615697206254403,0.12832595431415592,3
Std,pre_2011_2012,2011-2012 pre-drift,28,0.2254206579679858,0.14144263233164056,3
Std,pre_2011_2012,2011-2012 pre-drift,29,0.16843441312140184,0.15319947346317983,3
Std,pre_2011_2012,2011-2012 pre-drift,30,0.13199527105144884,0.15395362777232952,3
Std,pre_2011_2012,2011-2012 pre-drift,31,0.10628476016141941,0.14714897655150833,3
Std,pre_2011_2012,2011-2012 pre-drift,32,0.0920295154769729,0.13786176395778962,3
Std,pre_2011_2012,2011-2012 pre-drift,33,0.09228159828181713,0.1271604962135423,3
Std,pre_2011_2012,2011-2012 pre-drift,34,0.10208143893233758,0.12081374078445707,3
Std,pre_2011_2012,2011-2012 pre-drift,35,0.11636531056980759,0.10864450990128105,3
Std,pre_2011_2012,2011-2012 pre-drift,36,0.11870085946766736,0.09858793149184611,3
Std,pre_2011_2012,2011-2012 pre-drift,37,0.11127855271391679,0.10519159817264771,3
Std,pre_2011_2012,2011-2012 pre-drift,38,0.09523502798539162,0.11264752541626567,3
Std,pre_2011_2012,2011-2012 pre-drift,39,0.08300101338628986,0.11492291031615572,3
Std,pre_2011_2012,2011-2012 pre-drift,40,0.08587866072416954,0.12884538302774767,3
Std,pre_2011_2012,2011-2012 pre-drift,41,0.09574530462579463,0.14242840420978758,3
Std,pre_2011_2012,2011-2012 pre-drift,42,0.12452092889209347,0.14662036780738336,3
Std,pre_2011_2012,2011-2012 pre-drift,43,0.16475628852978272,0.14353362603678727,3
Std,pre_2011_2012,2011-2012 pre-drift,44,0.21554619204113734,0.13090999580860746,3
Std,pre_2011_2012,2011-2012 pre-drift,45,0.27520409504267423,0.12119210462285661,3
Std,pre_2011_2012,2011-2012 pre-drift,46,0.3466756934492496,0.11750553562828464,3
Std,pre_2011_2012,2011-2012 pre-drift,47,0.4071877962921167,0.1366306995026377,3
Std,pre_2011_2012,2011-2012 pre-drift,48,0.44133565369275835,0.1546549155424551,3
Std,pre_2011_2012,2011-2012 pre-drift,49,0.3949444052212003,0.14086892356064218,3
Std,pre_2011_2012,2011-2012 pre-drift,50,0.3372270691914703,0.11871270565213911,3
Std,pre_2011_2012,2011-2012 pre-drift,51,0.2651600071113702,0.11992657962921807,3
Std,pre_2011_2012,2011-2012 pre-drift,52,0.20405018802164684,0.13639476349653964,3
Std,pre_2011_2012,2011-2012 pre-drift,53,0.15791778491137914,0.1504672831044529,3
Std,pre_2011_2012,2011-2012 pre-drift,54,0.11948854104208356,0.15394648948657913,3
Std,pre_2011_2012,2011-2012 pre-drift,55,0.09290186935378704,0.13845559540300525,3
Std,pre_2011_2012,2011-2012 pre-drift,56,0.07658636944666956,0.1283886020406883,3
Std,pre_2011_2012,2011-2012 pre-drift,57,0.07434333932049302,0.10899694235867491,3
Std,pre_2011_2012,2011-2012 pre-drift,58,0.07938088035128073,0.10671288300369605,3
Std,pre_2011_2012,2011-2012 pre-drift,59,0.09396183385663266,0.09628865535748293,3
Std,pre_2011_2012,2011-2012 pre-drift,60,0.10809507092154369,0.08107494906076407,3
Std,pre_2011_2012,2011-2012 pre-drift,61,0.08874089252500476,0.09216513548486513,3
Std,pre_2011_2012,2011-2012 pre-drift,62,0.07235370647654435,0.10055118916173993,3
Std,pre_2011_2012,2011-2012 pre-drift,63,0.0660637265023702,0.1055922720061368,3
Std,pre_2011_2012,2011-2012 pre-drift,64,0.06633337569031565,0.11719794902908846,3
Std,pre_2011_2012,2011-2012 pre-drift,65,0.0790001829684405,0.1310750630377622,3
Std,pre_2011_2012,2011-2012 pre-drift,66,0.1081392272850854,0.13953902850864866,3
Std,pre_2011_2012,2011-2012 pre-drift,67,0.14781307765038817,0.13633686982312582,3
Std,pre_2011_2012,2011-2012 pre-drift,68,0.19540260814366017,0.13139880619761513,3
Std,pre_2011_2012,2011-2012 pre-drift,69,0.24915928569081547,0.11971618244197788,3
Std,pre_2011_2012,2011-2012 pre-drift,70,0.31744284460648725,0.12236712421070818,3
Std,pre_2011_2012,2011-2012 pre-drift,71,0.37421344511408966,0.13859718871898358,3
Std,pre_2011_2012,2011-2012 pre-drift,72,0.4221854602255997,0.1546965110426961,3
Std,drift_2013,2013 tariff-shift period,0,1.0,0.0,3
Std,drift_2013,2013 tariff-shift period,1,0.6091733465287789,0.03664471391813164,3
Std,drift_2013,2013 tariff-shift period,2,0.40365458951508,0.05299818458444689,3
Std,drift_2013,2013 tariff-shift period,3,0.2826250494254268,0.06778120331205002,3
Std,drift_2013,2013 tariff-shift period,4,0.1872596955080624,0.07550138195763807,3
Std,drift_2013,2013 tariff-shift period,5,0.12053630601937343,0.08101834426784435,3
Std,drift_2013,2013 tariff-shift period,6,0.06735996274745817,0.09628600109302823,3
Std,drift_2013,2013 tariff-shift period,7,0.023120509861212824,0.11479550276986432,3
Std,drift_2013,2013 tariff-shift period,8,-0.008421426225271061,0.13207382499138226,3
Std,drift_2013,2013 tariff-shift period,9,-0.02352458249445043,0.15985300144903675,3
Std,drift_2013,2013 tariff-shift period,10,-0.022942688665489125,0.1840815387199761,3
Std,drift_2013,2013 tariff-shift period,11,0.002793122402298856,0.18094470555316092,3
Std,drift_2013,2013 tariff-shift period,12,0.016352153230810976,0.17469379249351671,3
Std,drift_2013,2013 tariff-shift period,13,-0.007774859944824501,0.17891083953836365,3
Std,drift_2013,2013 tariff-shift period,14,-0.031788782807945344,0.17906042524249483,3
Std,drift_2013,2013 tariff-shift period,15,-0.03222856153084903,0.15383515947570087,3
Std,drift_2013,2013 tariff-shift period,16,-0.025245273610115092,0.12526551296446095,3
Std,drift_2013,2013 tariff-shift period,17,-0.006412691977770964,0.10141994420542112,3
Std,drift_2013,2013 tariff-shift period,18,0.018040951447414046,0.08296291365921563,3
Std,drift_2013,2013 tariff-shift period,19,0.06252358468805613,0.07122548705337554,3
Std,drift_2013,2013 tariff-shift period,20,0.1177766546165608,0.06389038102767579,3
Std,drift_2013,2013 tariff-shift period,21,0.18622339455160927,0.06996706888942379,3
Std,drift_2013,2013 tariff-shift period,22,0.268034150045052,0.0891444856477302,3
Std,drift_2013,2013 tariff-shift period,23,0.3575925790764792,0.12264919625874113,3
Std,drift_2013,2013 tariff-shift period,24,0.4105421606536242,0.15733849355349908,3
Std,drift_2013,2013 tariff-shift period,25,0.35204553531414023,0.12272697955690252,3
Std,drift_2013,2013 tariff-shift period,26,0.2643760066972192,0.08738297900299892,3
Std,drift_2013,2013 tariff-shift period,27,0.1811214563255754,0.0676952874341497,3
Std,drift_2013,2013 tariff-shift period,28,0.1095899906757285,0.06109505957669554,3
Std,drift_2013,2013 tariff-shift period,29,0.04549586256133422,0.06592024226969047,3
Std,drift_2013,2013 tariff-shift period,30,0.0003320064399275023,0.06633423778965966,3
Std,drift_2013,2013 tariff-shift period,31,-0.031981024091014935,0.06703407911869685,3
Std,drift_2013,2013 tariff-shift period,32,-0.05269689129386227,0.08453069357619471,3
Std,drift_2013,2013 tariff-shift period,33,-0.06711415605933234,0.11972238647276201,3
Std,drift_2013,2013 tariff-shift period,34,-0.06744564870679953,0.1509333591209309,3
Std,drift_2013,2013 tariff-shift period,35,-0.043756951128882456,0.14931648803369818,3
Std,drift_2013,2013 tariff-shift period,36,-0.02755949109311384,0.13875808320640304,3
Std,drift_2013,2013 tariff-shift period,37,-0.047287865719423616,0.14696334363096303,3
Std,drift_2013,2013 tariff-shift period,38,-0.07475515402100444,0.1447214370280661,3
Std,drift_2013,2013 tariff-shift period,39,-0.07545854681340917,0.11755957014993575,3
Std,drift_2013,2013 tariff-shift period,40,-0.06855544819476911,0.08755323236102784,3
Std,drift_2013,2013 tariff-shift period,41,-0.055542602210564423,0.06484454932343947,3
Std,drift_2013,2013 tariff-shift period,42,-0.02310654262521164,0.05774140464192829,3
Std,drift_2013,2013 tariff-shift period,43,0.022213567722058045,0.06331514943665452,3
Std,drift_2013,2013 tariff-shift period,44,0.07823249404955694,0.06996724874641379,3
Std,drift_2013,2013 tariff-shift period,45,0.15185021996693648,0.07655748049453365,3
Std,drift_2013,2013 tariff-shift period,46,0.22664132624527308,0.10564642422693982,3
Std,drift_2013,2013 tariff-shift period,47,0.30308027741428584,0.15243809720828444,3
Std,drift_2013,2013 tariff-shift period,48,0.3465633002201072,0.18942779394302442,3
Std,drift_2013,2013 tariff-shift period,49,0.30007578757639425,0.15272970220959617,3
Std,drift_2013,2013 tariff-shift period,50,0.22606732874284155,0.1136557652738087,3
Std,drift_2013,2013 tariff-shift period,51,0.1495626416248169,0.08834659101473619,3
Std,drift_2013,2013 tariff-shift period,52,0.08232747508860894,0.07004787598990078,3
Std,drift_2013,2013 tariff-shift period,53,0.018828021590091903,0.06295610165577567,3
Std,drift_2013,2013 tariff-shift period,54,-0.03230377520310072,0.0473369358981659,3
Std,drift_2013,2013 tariff-shift period,55,-0.06600290655874792,0.04409445493820718,3
Std,drift_2013,2013 tariff-shift period,56,-0.08398504045866169,0.06644866585179295,3
Std,drift_2013,2013 tariff-shift period,57,-0.09105920671965718,0.10044237518441793,3
Std,drift_2013,2013 tariff-shift period,58,-0.08825225853826751,0.13395095956048797,3
Std,drift_2013,2013 tariff-shift period,59,-0.06582521620119504,0.1350158259834423,3
Std,drift_2013,2013 tariff-shift period,60,-0.05251081905446242,0.12408798558121824,3
Std,drift_2013,2013 tariff-shift period,61,-0.07556955902550133,0.1294812658038872,3
Std,drift_2013,2013 tariff-shift period,62,-0.09641069425180519,0.12718236920551745,3
Std,drift_2013,2013 tariff-shift period,63,-0.09925353761606488,0.09664560052316062,3
Std,drift_2013,2013 tariff-shift period,64,-0.0875591454131124,0.06253132595061779,3
Std,drift_2013,2013 tariff-shift period,65,-0.06449335633725702,0.04636765477809042,3
Std,drift_2013,2013 tariff-shift period,66,-0.03107583401432908,0.045722413120589014,3
Std,drift_2013,2013 tariff-shift period,67,0.011187011963323798,0.06197278399412325,3
Std,drift_2013,2013 tariff-shift period,68,0.06657872751696742,0.0788264728103898,3
Std,drift_2013,2013 tariff-shift period,69,0.1319150172329787,0.0997591318757158,3
Std,drift_2013,2013 tariff-shift period,70,0.20877305797316983,0.12472601546306734,3
Std,drift_2013,2013 tariff-shift period,71,0.28081860431576305,0.16685183557959946,3
Std,drift_2013,2013 tariff-shift period,72,0.31880814420071485,0.20771574275895707,3
Std,post_2014,2014 post-drift (Jan-Feb only),0,1.0,0.0,3
Std,post_2014,2014 post-drift (Jan-Feb only),1,0.6315656978094817,0.010707553077304968,3
Std,post_2014,2014 post-drift (Jan-Feb only),2,0.42623515033689685,0.026041282662044737,3
Std,post_2014,2014 post-drift (Jan-Feb only),3,0.29354943464954714,0.007154029214179757,3
Std,post_2014,2014 post-drift (Jan-Feb only),4,0.1818121666564719,0.014863392107442742,3
Std,post_2014,2014 post-drift (Jan-Feb only),5,0.09859194468028358,0.032611127234504426,3
Std,post_2014,2014 post-drift (Jan-Feb only),6,0.04530416892483218,0.06360668762062825,3
Std,post_2014,2014 post-drift (Jan-Feb only),7,-0.003434396183065206,0.08768197755964553,3
Std,post_2014,2014 post-drift (Jan-Feb only),8,-0.04381045021712127,0.11331795399373563,3
Std,post_2014,2014 post-drift (Jan-Feb only),9,-0.05526070794724356,0.16359524195110586,3
Std,post_2014,2014 post-drift (Jan-Feb only),10,-0.07306169158028747,0.20998163104201756,3
Std,post_2014,2014 post-drift (Jan-Feb only),11,-0.05600645437141933,0.24172252484609622,3
Std,post_2014,2014 post-drift (Jan-Feb only),12,-0.0436509745992884,0.26814756900140385,3
Std,post_2014,2014 post-drift (Jan-Feb only),13,-0.05699010008316733,0.24856941263205568,3
Std,post_2014,2014 post-drift (Jan-Feb only),14,-0.0869972593184873,0.2256456653055186,3
Std,post_2014,2014 post-drift (Jan-Feb only),15,-0.08202606428828958,0.1648986522475196,3
Std,post_2014,2014 post-drift (Jan-Feb only),16,-0.052495775902500465,0.11450042705422875,3
Std,post_2014,2014 post-drift (Jan-Feb only),17,-0.03955689977657063,0.07015173573988277,3
Std,post_2014,2014 post-drift (Jan-Feb only),18,-0.010057628326980723,0.04112392194642287,3
Std,post_2014,2014 post-drift (Jan-Feb only),19,0.03986875458894126,0.008610512909620725,3
Std,post_2014,2014 post-drift (Jan-Feb only),20,0.12358438420167998,0.01698242456178777,3
Std,post_2014,2014 post-drift (Jan-Feb only),21,0.19954015346092144,0.044081653971105014,3
Std,post_2014,2014 post-drift (Jan-Feb only),22,0.29155661309343256,0.08386124279614511,3
Std,post_2014,2014 post-drift (Jan-Feb only),23,0.39255066219534945,0.10488162620186431,3
Std,post_2014,2014 post-drift (Jan-Feb only),24,0.46943688090104735,0.1410001541001745,3
Std,post_2014,2014 post-drift (Jan-Feb only),25,0.38959079390903795,0.13202158418122734,3
Std,post_2014,2014 post-drift (Jan-Feb only),26,0.28689654744505433,0.12222208843924673,3
Std,post_2014,2014 post-drift (Jan-Feb only),27,0.19865897853586034,0.07457131888951346,3
Std,post_2014,2014 post-drift (Jan-Feb only),28,0.12629161319100046,0.01954949972488835,3
Std,post_2014,2014 post-drift (Jan-Feb only),29,0.05098743719804766,0.020292299942160558,3
Std,post_2014,2014 post-drift (Jan-Feb only),30,-0.01400286041422412,0.03416524606308009,3
Std,post_2014,2014 post-drift (Jan-Feb only),31,-0.05483640214401945,0.05049439974568619,3
Std,post_2014,2014 post-drift (Jan-Feb only),32,-0.08459443826697982,0.08906846361164479,3
Std,post_2014,2014 post-drift (Jan-Feb only),33,-0.1054640015664564,0.1417149071950216,3
Std,post_2014,2014 post-drift (Jan-Feb only),34,-0.12014373553656975,0.19692509049422968,3
Std,post_2014,2014 post-drift (Jan-Feb only),35,-0.10727102595231042,0.21311786907631605,3
Std,post_2014,2014 post-drift (Jan-Feb only),36,-0.07390523696512614,0.2478617315096155,3
Std,post_2014,2014 post-drift (Jan-Feb only),37,-0.09649876132464359,0.23174495599160239,3
Std,post_2014,2014 post-drift (Jan-Feb only),38,-0.11841590246913347,0.19737291256943776,3
Std,post_2014,2014 post-drift (Jan-Feb only),39,-0.10612929391083843,0.14604055654607093,3
Std,post_2014,2014 post-drift (Jan-Feb only),40,-0.09076590636845172,0.0924081101562006,3
Std,post_2014,2014 post-drift (Jan-Feb only),41,-0.07461539104530451,0.05564984941046726,3
Std,post_2014,2014 post-drift (Jan-Feb only),42,-0.0510794894123151,0.044947318297437706,3
Std,post_2014,2014 post-drift (Jan-Feb only),43,-0.0013700253662558698,0.056592916037279284,3
Std,post_2014,2014 post-drift (Jan-Feb only),44,0.06725460764591112,0.07541721708840754,3
Std,post_2014,2014 post-drift (Jan-Feb only),45,0.1508333368114507,0.11083444667979675,3
Std,post_2014,2014 post-drift (Jan-Feb only),46,0.24252649181429145,0.16311506149018157,3
Std,post_2014,2014 post-drift (Jan-Feb only),47,0.3305720364328921,0.1897416705963002,3
Std,post_2014,2014 post-drift (Jan-Feb only),48,0.38703687224869626,0.19662295329887908,3
Std,post_2014,2014 post-drift (Jan-Feb only),49,0.34375295255236943,0.17572049833152253,3
Std,post_2014,2014 post-drift (Jan-Feb only),50,0.2553162266829295,0.14500819500703796,3
Std,post_2014,2014 post-drift (Jan-Feb only),51,0.16326674218796913,0.1040611247140605,3
Std,post_2014,2014 post-drift (Jan-Feb only),52,0.09709428716602331,0.06299419494823569,3
Std,post_2014,2014 post-drift (Jan-Feb only),53,0.04016978845165144,0.021985857158039315,3
Std,post_2014,2014 post-drift (Jan-Feb only),54,-0.02568358116358718,0.030953615039618035,3
Std,post_2014,2014 post-drift (Jan-Feb only),55,-0.06280074336475472,0.05303897073627041,3
Std,post_2014,2014 post-drift (Jan-Feb only),56,-0.08954461927995927,0.08601704297212023,3
Std,post_2014,2014 post-drift (Jan-Feb only),57,-0.10896714935484865,0.13743593370597867,3
Std,post_2014,2014 post-drift (Jan-Feb only),58,-0.12252167871290638,0.17942133189204268,3
Std,post_2014,2014 post-drift (Jan-Feb only),59,-0.11586674860356942,0.1942973303760029,3
Std,post_2014,2014 post-drift (Jan-Feb only),60,-0.11620348051481473,0.19161651605984764,3
Std,post_2014,2014 post-drift (Jan-Feb only),61,-0.12225671838550556,0.19945849910556937,3
Std,post_2014,2014 post-drift (Jan-Feb only),62,-0.1360608873876671,0.18026858762451836,3
Std,post_2014,2014 post-drift (Jan-Feb only),63,-0.12411135823054502,0.13543211371205602,3
Std,post_2014,2014 post-drift (Jan-Feb only),64,-0.10958645312264154,0.07943305972065433,3
Std,post_2014,2014 post-drift (Jan-Feb only),65,-0.0916771218990232,0.04150536551667567,3
Std,post_2014,2014 post-drift (Jan-Feb only),66,-0.048080087870808315,0.016069427892997493,3
Std,post_2014,2014 post-drift (Jan-Feb only),67,0.01065311052860383,0.01063919238639602,3
Std,post_2014,2014 post-drift (Jan-Feb only),68,0.07559213332277509,0.042325879496639775,3
Std,post_2014,2014 post-drift (Jan-Feb only),69,0.14049395833160683,0.08770789757654733,3
Std,post_2014,2014 post-drift (Jan-Feb only),70,0.22440789967211947,0.13212408011599516,3
Std,post_2014,2014 post-drift (Jan-Feb only),71,0.2932237618596581,0.16762632311566436,3
Std,post_2014,2014 post-drift (Jan-Feb only),72,0.3489444725333825,0.19918688253792524,3
ToU,pre_2011_2012,2011-2012 pre-drift,0,1.0,0.0,4
ToU,pre_2011_2012,2011-2012 pre-drift,1,0.546157059136661,0.21949351247995585,4
ToU,pre_2011_2012,2011-2012 pre-drift,2,0.42826272412715793,0.21965860324637262,4
ToU,pre_2011_2012,2011-2012 pre-drift,3,0.37978264610605666,0.18444641956157526,4
ToU,pre_2011_2012,2011-2012 pre-drift,4,0.3449559462899153,0.13085153824624735,4
ToU,pre_2011_2012,2011-2012 pre-drift,5,0.2757661669110404,0.11996811900517658,4
