LCLid,stdorToU,Acorn,Acorn_grouped,file,pre_2011_2012_days,drift_2013_days,post_2014_days,pre_mean,pre_std,drift_mean,drift_std,mean_shift_pct,std_shift_pct,shift_score
MAC000037,Std,ACORN-E,Affluent,block_38,391,365,59,0.001665614626979367,0.004616701372452989,0.0016938356164383503,0.004640549007190386,1.6943288682666506,0.5165513818955507,2.2108802501622016
MAC000055,Std,ACORN-K,Adversity,block_76,389,365,59,0.26445864530768953,0.08743189494994422,0.26141066003181773,0.08870043585085068,1.1525375819442634,1.4508903205548884,2.603427902499152
MAC000112,Std,ACORN-A,Affluent,block_2,384,365,59,0.2640448921922492,0.0963099710339765,0.26443606937615366,0.09571499926758216,0.14814798372227334,0.6177675686190798,0.7659155523413531
MAC000132,Std,ACORN-E,Affluent,block_22,383,365,59,0.294627519945809,0.06967321658749981,0.29031438713664626,0.06979424708113187,1.4639273377979256,0.1737116492677823,1.637638987065708
MAC000244,Std,ACORN-F,Comfortable,block_44,396,365,59,0.14899040044796363,0.02413243749457558,0.1474835579834596,0.023935583245560155,1.0113688264300666,0.8157246820163708,1.8270935084464375
MAC000281,Std,ACORN-K,Adversity,block_76,306,365,59,0.17771249199634506,0.030826163626262348,0.18030964611872144,0.03055308742703632,1.4614358806187873,0.885858527635211,2.3472944082539984
MAC000291,Std,ACORN-D,Affluent,block_12,305,365,59,0.3903457588906212,0.15385432595200177,0.39073128325961815,0.15041630853740984,0.09876484122503246,2.2345926208564957,2.333357462081528
MAC000437,Std,ACORN-E,Affluent,block_40,285,365,59,0.4489384433633268,0.15923386061207145,0.45306996870227334,0.15940535202432066,0.9202877142786612,0.10769782983971823,1.0279855441183794
MAC000649,Std,ACORN-P,Adversity,block_92,263,365,59,0.11337396418496255,0.027623061529440093,0.11424931506849312,0.027333253798415755,0.7720916259949107,1.0491513792396499,1.8212430052345605
MAC000730,Std,ACORN-E,Affluent,block_31,257,365,59,0.36625224441865356,0.07498442560768553,0.3580854205486675,0.07526452792457439,2.2298358561458493,0.37354732615321073,2.6033831822990603
MAC000734,Std,ACORN-K,Adversity,block_75,257,365,59,0.17698990762504332,0.05427745429952966,0.17532487006302824,0.05515752576336748,0.9407528284282158,1.621430988603761,2.562183817031977
MAC000823,Std,ACORN-E,Affluent,block_37,250,365,59,0.31659021008697613,0.03628005465449097,0.3186675787342126,0.03691408647488115,0.6561695785431091,1.74760436947604,2.403773948019149
MAC000846,Std,ACORN-J,Comfortable,block_73,250,365,59,0.10395923976187328,0.05417950718155463,0.10438857348805008,0.0532518509876679,0.4129827489699092,1.7121901658835037,2.125172914853413
MAC000854,Std,ACORN-I,Comfortable,block_70,250,365,59,0.1454923832681669,0.0518726791464288,0.14318798697002813,0.05191366325824803,1.5838604374851624,0.07900905157326321,1.6628694890584255
MAC000934,Std,ACORN-F,Comfortable,block_45,245,365,59,0.538236392239229,0.19134101400056078,0.5321730703646896,0.1913090991678966,1.1265165198722649,0.016679556566000047,1.143196076438265
MAC000981,Std,ACORN-Q,Adversity,block_93,244,365,59,0.374071245550022,0.09530222573588157,0.3744665670845478,0.09443434396058711,0.10568081327515386,0.9106626509434128,1.0163434642185667
MAC000989,Std,ACORN-Q,Adversity,block_94,243,365,59,0.13938341512962105,0.025293521464420377,0.13949222217595866,0.025196934102802625,0.07806312267240008,0.3818660116331301,0.4599291343055302
MAC001486,Std,ACORN-K,Adversity,block_75,224,365,59,0.3681320526002473,0.0977752212526002,0.36853690004347617,0.09943444755443813,0.10997342947165367,1.6969803602400995,1.8069537897117531
MAC001531,Std,ACORN-J,Comfortable,block_72,224,365,59,0.21265899865062213,0.02760589551745191,0.21187800327759154,0.027825848003414592,0.36725244545784963,0.7967591046761462,1.1640115501339958
MAC001684,Std,ACORN-Q,Adversity,block_107,216,365,59,0.10449767492448118,0.02049788730431506,0.10310399543378992,0.02025272678318362,1.3336942584592915,1.1960282417975265,2.5297225002568178
MAC001689,Std,ACORN-A,Affluent,block_1,217,365,59,0.4015322872383251,0.10919070275383728,0.4067542735923686,0.10914299640361151,1.3005146833793766,0.043690853728933415,1.34420553710831
MAC001843,Std,ACORN-A,Affluent,block_1,207,360,59,0.3780804529903915,0.11394889989679545,0.3799652259538761,0.11578152861347028,0.49851108370643643,1.6082899600914635,2.1068010437979
MAC001877,Std,ACORN-F,Comfortable,block_54,206,365,59,0.1723385367176203,0.022666022691496972,0.17449588191574367,0.022615511795120547,1.2518066122716383,0.22284852117161907,1.4746551334432574
MAC001882,Std,ACORN-L,Adversity,block_78,207,365,59,0.23117901927962053,0.032374170775936066,0.23361794544836292,0.032036215106076966,1.0549945995715153,1.0439052545874141,2.0988998541589297
MAC001903,Std,ACORN-F,Comfortable,block_56,206,365,59,0.14743958352788308,0.02035287651888157,0.1470354844421546,0.020016525200272868,0.2740777449714171,1.6525984339199624,1.9266761788913795
