LCLid,stdorToU,window_key,window_label,observed_hours_before_fill,expected_hours,raw_missing_rate,filled_missing_rate
MAC000037,Std,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC000055,Std,drift_2013,2013 tariff-shift period,8688,8760,0.00821917808219178,0.0
MAC000112,Std,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC000132,Std,drift_2013,2013 tariff-shift period,8640,8760,0.0136986301369863,0.0
MAC000244,Std,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC000281,Std,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC000291,Std,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC000437,Std,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC000649,Std,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC000730,Std,drift_2013,2013 tariff-shift period,8544,8760,0.024657534246575342,0.0
MAC000734,Std,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC000823,Std,drift_2013,2013 tariff-shift period,8640,8760,0.0136986301369863,0.0
MAC000846,Std,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC000854,Std,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC000934,Std,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC000981,Std,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC000989,Std,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC001486,Std,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC001531,Std,drift_2013,2013 tariff-shift period,8640,8760,0.0136986301369863,0.0
MAC001684,Std,drift_2013,2013 tariff-shift period,8760,8760,0.0,0.0
MAC001689,Std,drift_2013,2013 tariff-shift period,8712,8760,0.005479452054794521,0.0
MAC001843,Std,drift_2013,2013 tariff-shift period,7824,8760,0.10684931506849316,0.0
MAC001877,Std,drift_2013,2013 tariff-shift period,8664,8760,0.010958904109589041,0.0
MAC001882,Std,drift_2013,2013 tariff-shift period,8736,8760,0.0027397260273972603,0.0
MAC001903,Std,drift_2013,2013 tariff-shift period,8640,8760,0.0136986301369863,0.0
