LCLid,stdorToU,window_key,window_label,observed_hours_before_fill,expected_hours,raw_missing_rate,filled_missing_rate
MAC000037,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000055,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000112,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000132,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000244,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000281,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000291,Std,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC000437,Std,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC000649,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000730,Std,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC000734,Std,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC000823,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000846,Std,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC000854,Std,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC000934,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC000981,Std,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC000989,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001486,Std,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC001531,Std,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC001684,Std,post_2014,2014 post-drift (Jan-Feb only),1344,1416,0.05084745762711865,0.0
MAC001689,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001843,Std,post_2014,2014 post-drift (Jan-Feb only),1320,1416,0.06779661016949153,0.0
MAC001877,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001882,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC001903,Std,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC001980,Std,post_2014,2014 post-drift (Jan-Feb only),1368,1416,0.03389830508474576,0.0
MAC002071,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002191,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002244,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002669,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
MAC002684,Std,post_2014,2014 post-drift (Jan-Feb only),1392,1416,0.01694915254237288,0.0
