LCLid,stdorToU,window_key,window_label,observed_hours_before_fill,expected_hours,raw_missing_rate,filled_missing_rate
MAC000037,Std,pre_2011_2012,2011-2012 pre-drift,9287,9720,0.04454732510288066,0.0
MAC000055,Std,pre_2011_2012,2011-2012 pre-drift,9287,9720,0.04454732510288066,0.0
MAC000112,Std,pre_2011_2012,2011-2012 pre-drift,9167,9720,0.05689300411522634,0.0
MAC000132,Std,pre_2011_2012,2011-2012 pre-drift,9071,9720,0.06676954732510289,0.0
MAC000244,Std,pre_2011_2012,2011-2012 pre-drift,9455,9720,0.02726337448559671,0.0
MAC000281,Std,pre_2011_2012,2011-2012 pre-drift,7247,9720,0.2544238683127572,0.0
MAC000291,Std,pre_2011_2012,2011-2012 pre-drift,7271,9720,0.25195473251028805,0.0
MAC000437,Std,pre_2011_2012,2011-2012 pre-drift,6767,9720,0.3038065843621399,0.0
MAC000649,Std,pre_2011_2012,2011-2012 pre-drift,6263,9720,0.3556584362139918,0.0
MAC000730,Std,pre_2011_2012,2011-2012 pre-drift,6047,9720,0.377880658436214,0.0
MAC000734,Std,pre_2011_2012,2011-2012 pre-drift,6095,9720,0.37294238683127573,0.0
MAC000823,Std,pre_2011_2012,2011-2012 pre-drift,5855,9720,0.3976337448559671,0.0
MAC000846,Std,pre_2011_2012,2011-2012 pre-drift,5951,9720,0.3877572016460905,0.0
MAC000854,Std,pre_2011_2012,2011-2012 pre-drift,5903,9720,0.3926954732510288,0.0
MAC000934,Std,pre_2011_2012,2011-2012 pre-drift,5759,9720,0.4075102880658436,0.0
MAC000981,Std,pre_2011_2012,2011-2012 pre-drift,5687,9720,0.414917695473251,0.0
MAC000989,Std,pre_2011_2012,2011-2012 pre-drift,5711,9720,0.41244855967078187,0.0
MAC001486,Std,pre_2011_2012,2011-2012 pre-drift,5303,9720,0.4544238683127572,0.0
MAC001531,Std,pre_2011_2012,2011-2012 pre-drift,5327,9720,0.45195473251028806,0.0
