model,node_id,node_type,household_count,rmse_test_2012q4,rmse_test_2013,rmse_test_2014,mae_test_2012q4,mae_test_2013,mae_test_2014,count_test_2012q4,count_test_2013,count_test_2014,rmse_change_2013_vs_2012_pct
PlainLSTM,node_std_0,Std,20,0.09294947236776352,0.08838450163602829,0.08764082193374634,0.06975115835666656,0.06570502370595932,0.066380076110363,2160.0,8712.0,1368.0,-4.911238994099379
PlainLSTM,node_std_1,Std,20,0.07354078441858292,0.06762177497148514,0.07428800314664841,0.05503597855567932,0.051305316388607025,0.05560014024376869,2160.0,8712.0,1368.0,-8.048607985206795
PlainLSTM,node_std_2,Std,20,0.07694718986749649,0.07488443702459335,0.0859299749135971,0.057540372014045715,0.05687693506479263,0.06428711116313934,2160.0,8712.0,1368.0,-2.680738369335137
PlainLSTM,node_tou_0,ToU,20,0.08898956328630447,0.07962504029273987,0.08644989877939224,0.0658300593495369,0.059111639857292175,0.0657799169421196,2160.0,8712.0,1368.0,-10.523169962567744
PlainLSTM,node_tou_1,ToU,20,0.105308897793293,0.09493314474821091,0.10601096600294113,0.07858028262853622,0.06965658068656921,0.07974588125944138,2160.0,8712.0,1368.0,-9.852684115494476
PlainLSTM,node_tou_2,ToU,20,0.09017442166805267,0.0874442458152771,0.09682653844356537,0.0657612606883049,0.06109340488910675,0.0697965994477272,2160.0,8712.0,1368.0,-3.0276610620535096
PlainLSTM,node_tou_3,ToU,20,0.09070873260498047,0.07939231395721436,0.09040986746549606,0.06418139487504959,0.05689619109034538,0.06629236787557602,2160.0,8712.0,1368.0,-12.475555906008516
PlainLSTM,node_tou_4,ToU,20,0.065163753926754,0.06389272958040237,0.07419183105230331,0.04764198884367943,0.0471900999546051,0.05715595558285713,2160.0,8712.0,1368.0,-1.9505081732711298
PlainLSTM,node_tou_5,ToU,20,0.06924952566623688,0.06944538652896881,0.06944988667964935,0.052341412752866745,0.051541730761528015,0.053192753344774246,2160.0,8712.0,1368.0,0.28283350802419577
PlainLSTM,node_tou_6,ToU,20,0.09500390291213989,0.10691390186548233,0.10667642205953598,0.07025739550590515,0.07292785495519638,0.07865343242883682,2160.0,8712.0,1368.0,12.53632597005711
