Node,Type,LSTM RMSE 2012Q4,Attention-LSTM RMSE 2012Q4,LSTM RMSE 2013,Attention-LSTM RMSE 2013,Improvement %
node_std_0,Std,0.09294947236776352,0.0994214341044426,0.08838450163602829,0.09263083338737488,-4.804385014052793
node_std_1,Std,0.07354078441858292,0.07605446130037308,0.06762177497148514,0.07019315659999847,-3.802594104632185
node_std_2,Std,0.07694718986749649,0.07852763682603836,0.07488443702459335,0.07630746811628342,-1.900302850941799
node_tou_0,ToU,0.08898956328630447,0.09627896547317505,0.07962504029273987,0.0840502381324768,-5.557545495070128
node_tou_1,ToU,0.105308897793293,0.1096656396985054,0.09493314474821091,0.09670750051736832,-1.8690582450033595
node_tou_2,ToU,0.09017442166805267,0.09271591156721115,0.0874442458152771,0.0892588198184967,-2.0751211086579997
node_tou_3,ToU,0.09070873260498047,0.08424511551856995,0.07939231395721436,0.07485626637935638,5.713459341042147
node_tou_4,ToU,0.065163753926754,0.06748071312904358,0.06389272958040237,0.06594952195882797,-3.2191336822405408
node_tou_5,ToU,0.06924952566623688,0.06971434503793716,0.06944538652896881,0.06815072149038315,1.8642923645411629
node_tou_6,ToU,0.09500390291213989,0.09876681119203568,0.10691390186548233,0.1041169986128807,2.61603327892817
