method,round,node_id,node_type,sample_count,drift_score,aggregation_weight
FedAvg,1,node_std_0,Std,44960,0.10808529229381589,0.1
FedAvg,1,node_std_1,Std,44960,0.09487428829133547,0.1
FedAvg,1,node_std_2,Std,44960,0.14308726534753932,0.1
FedAvg,1,node_tou_0,ToU,44960,0.12677856699926715,0.1
FedAvg,1,node_tou_1,ToU,44960,0.17720277354980551,0.1
FedAvg,1,node_tou_2,ToU,44960,0.18952590337674052,0.1
FedAvg,1,node_tou_3,ToU,44960,0.30924375669428944,0.1
FedAvg,1,node_tou_4,ToU,44960,0.2834446699362986,0.1
FedAvg,1,node_tou_5,ToU,44960,0.13220869271097582,0.1
FedAvg,1,node_tou_6,ToU,44960,0.18912706465978915,0.1
FedAvg,2,node_std_0,Std,44960,0.10808529229381589,0.1
FedAvg,2,node_std_1,Std,44960,0.09487428829133547,0.1
FedAvg,2,node_std_2,Std,44960,0.14308726534753932,0.1
FedAvg,2,node_tou_0,ToU,44960,0.12677856699926715,0.1
FedAvg,2,node_tou_1,ToU,44960,0.17720277354980551,0.1
FedAvg,2,node_tou_2,ToU,44960,0.18952590337674052,0.1
FedAvg,2,node_tou_3,ToU,44960,0.30924375669428944,0.1
FedAvg,2,node_tou_4,ToU,44960,0.2834446699362986,0.1
FedAvg,2,node_tou_5,ToU,44960,0.13220869271097582,0.1
FedAvg,2,node_tou_6,ToU,44960,0.18912706465978915,0.1
FedAvg,3,node_std_0,Std,44960,0.10808529229381589,0.1
FedAvg,3,node_std_1,Std,44960,0.09487428829133547,0.1
FedAvg,3,node_std_2,Std,44960,0.14308726534753932,0.1
FedAvg,3,node_tou_0,ToU,44960,0.12677856699926715,0.1
FedAvg,3,node_tou_1,ToU,44960,0.17720277354980551,0.1
FedAvg,3,node_tou_2,ToU,44960,0.18952590337674052,0.1
FedAvg,3,node_tou_3,ToU,44960,0.30924375669428944,0.1
FedAvg,3,node_tou_4,ToU,44960,0.2834446699362986,0.1
FedAvg,3,node_tou_5,ToU,44960,0.13220869271097582,0.1
